stulD,q0401a,q0401b,q0401c,q0401d,q0401e,q0401f,q0401g,q0401h,q0401i,q0401j,q0401k,q0401l,q0401m,q0401n,q0401o,q0401p,q0401q,q0402,q0403,q0404,q0405,q0406,q0407,q0408,q0409,年级,年份,市
100174,3,4,4,3,4,3,3,4,4,4,3,4,3,5,4,4,4,1,2,2,2,1,2230.0,7.0,2,2,2020,5
100175,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,,,1,2,2020,5
100176,1,2,3,1,4,4,1,1,5,2,4,3,2,4,5,5,5,1,2,1,2,1,,0.0,5,2,2020,5
100177,2,1,1,1,1,2,1,1,1,1,1,1,5,5,5,5,5,1,2,1,2,1,2200.0,7.0,3,2,2020,5
100178,3,3,3,3,3,2,2,5,5,5,3,3,4,5,3,4,4,1,1,1,1,1,,,4,2,2020,5
100179,3,3,2,3,4,5,2,1,5,3,2,4,5,3,5,5,4,1,1,1,2,1,,,4,2,2020,5
100180,1,1,3,2,4,4,3,3,3,1,1,3,4,3,4,4,4,1,2,1,2,1,2300.0,6.0,2,2,2020,5
100181,1,2,3,2,4,1,4,3,4,3,2,2,4,5,4,4,4,1,2,1,2,1,2320.0,6.5,2,2,2020,5
100182,1,1,3,2,2,1,1,1,1,1,1,1,4,4,4,4,3,1,1,1,1,1,0.0,6.0,2,2,2020,5
100183,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,1,1,1,1,1,2330.0,6.5,1,2,2020,5
100184,4,3,4,4,5,4,4,5,4,3,5,4,4,4,4,4,5,2,2,1,2,1,2300.0,7.0,2,2,2020,5
100185,2,3,4,2,3,2,3,1,3,2,2,4,4,4,4,4,4,1,2,1,2,1,0.0,0.0,2,2,2020,5
100186,2,3,2,2,4,5,4,4,4,2,3,4,4,5,5,4,4,1,1,2,1,2,2315.0,6.5,4,2,2020,5
100187,2,2,3,3,3,3,3,2,4,2,2,4,5,5,5,4,4,1,2,1,2,1,9999.0,8.5,2,2,2020,5
100188,1,2,2,3,3,1,1,1,2,1,1,3,4,4,4,5,5,1,2,1,2,1,2300.0,7.0,1,2,2020,5
100189,2,4,4,3,4,3,4,3,3,3,1,3,4,4,4,2,3,1,2,1,2,1,2340.0,6.0,4,2,2020,5
100190,1,2,1,2,3,1,1,1,3,1,1,4,3,3,4,4,4,1,1,1,1,1,1900.0,7.0,2,2,2020,5
100191,1,2,3,3,4,1,3,3,4,4,1,4,4,5,5,4,4,1,2,1,2,1,9999.0,5.5,2,2,2020,5
100192,3,4,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,2,2,1,2,1,9999.0,5.3,2,2,2020,5
100193,3,4,3,4,4,2,5,2,5,4,4,3,5,5,5,4,5,1,2,1,2,1,2310.0,6.5,3,2,2020,5
100194,3,3,3,4,4,2,4,4,5,4,3,3,4,4,4,4,4,1,2,1,2,1,9999.0,7.5,2,2,2020,5
